,0.decl.0.backchannel.content,0.decl.0.pause.length,0.decl.mode,0.decl.n,0.decl.polarity,0.decl.sp-act,0.decl.text,0.decl.topic,0.dm.0.pause.length,0.dm.mode,0.dm.n,0.dm.polarity,0.dm.sp-act,0.dm.text,0.frag.0.overlap.type,0.frag.0.pause.length,0.frag.mode,0.frag.n,0.frag.polarity,0.frag.sp-act,0.frag.text,0.frag.topic,0.imp.mode,0.imp.n,0.imp.polarity,0.imp.sp-act,0.imp.text,0.imp.topic,0.no.mode,0.no.n,0.no.sp-act,0.no.text,0.q-wh.mode,0.q-wh.n,0.q-wh.polarity,0.q-wh.sp-act,0.q-wh.text,0.q-wh.topic,0.q-yn.0.overlap.type,0.q-yn.mode,0.q-yn.n,0.q-yn.polarity,0.q-yn.sp-act,0.q-yn.text,0.q-yn.topic,0.yes.mode,0.yes.n,0.yes.sp-act,0.yes.text,1.decl.0.overlap.type,1.decl.mode,1.decl.n,1.decl.polarity,1.decl.sp-act,1.decl.text,1.decl.topic,1.dm.n,1.dm.sp-act,1.dm.text,1.frag.mode,1.frag.n,1.frag.polarity,1.frag.sp-act,1.frag.text,1.frag.topic,1.q-yn.mode,1.q-yn.n,1.q-yn.polarity,1.q-yn.sp-act,1.q-yn.text,1.q-yn.topic,1.yes.n,1.yes.sp-act,1.yes.text,10.decl.0.backchannel.content,10.decl.mode,10.decl.n,10.decl.polarity,10.decl.sp-act,10.decl.text,10.decl.topic,11.decl.mode,11.decl.n,11.decl.polarity,11.decl.sp-act,11.decl.text,11.decl.topic,2.decl.mode,2.decl.n,2.decl.polarity,2.decl.sp-act,2.decl.text,2.decl.topic,2.dm.n,2.dm.polarity,2.dm.sp-act,2.dm.text,2.frag.0.backchannel.content,2.frag.mode,2.frag.n,2.frag.polarity,2.frag.sp-act,2.frag.text,2.frag.topic,2.q-wh.mode,2.q-wh.n,2.q-wh.polarity,2.q-wh.sp-act,2.q-wh.text,2.q-wh.topic,2.yes.0.pause.length,2.yes.n,2.yes.sp-act,2.yes.text,3.decl.0.backchannel.content,3.decl.mode,3.decl.n,3.decl.polarity,3.decl.sp-act,3.decl.text,3.decl.topic,3.frag.mode,3.frag.n,3.frag.polarity,3.frag.sp-act,3.frag.text,3.frag.topic,4.decl.0.backchannel.content,4.decl.0.overlap.type,4.decl.mode,4.decl.n,4.decl.polarity,4.decl.sp-act,4.decl.text,4.decl.topic,4.frag.mode,4.frag.n,4.frag.polarity,4.frag.sp-act,4.frag.text,4.frag.topic,5.decl.mode,5.decl.n,5.decl.polarity,5.decl.sp-act,5.decl.text,5.decl.topic,5.frag.mode,5.frag.n,5.frag.polarity,5.frag.sp-act,5.frag.text,5.frag.topic,6.decl.0.backchannel.content,6.decl.mode,6.decl.n,6.decl.polarity,6.decl.sp-act,6.decl.text,6.decl.topic,7.decl.0.backchannel.content,7.decl.mode,7.decl.n,7.decl.polarity,7.decl.sp-act,7.decl.text,7.decl.topic,7.frag.mode,7.frag.n,7.frag.polarity,7.frag.sp-act,7.frag.text,7.frag.topic,8.decl.0.backchannel.content,8.decl.mode,8.decl.n,8.decl.polarity,8.decl.sp-act,8.decl.text,8.decl.topic,8.dm.n,8.dm.sp-act,8.dm.text,9.decl.mode,9.decl.n,9.decl.polarity,9.decl.sp-act,9.decl.text,9.decl.topic,n,speaker,text
0,,,,,,,,,,,,,,,,,deixis-greet,1,positive,greet,"
good afternoon
",opening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,deixis,2,positive,identifySelf,"
Virgin trainline Sandra speaking
",intro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,3,positive,reqDirect,"
for which journey do you wish to purchase a ticket
",journey-preference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,A,"
"
1,,,closure,4,positive,direct,"
em it's from Birmingham to em London Euston please
",to-location-from,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,B,"
"
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,closed,5,positive,reqInfo,"
is that Birmingham New Street
",location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,A,"
"
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,closure,6,answ,"
yeah
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,B,"
"
4,,,,,,,,,,,7,,init,"
now
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,closed-alternative,8,positive,reqInfo,"
do you hold a current debit or credit card
",creditcard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,A,"
"
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,answ,"
er yeah
",,,,,,,,,,,closure,10,positive,answElab,"
a debit card
",creditcard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,B,"
"
6,,,,,,,,,,,11,,init,"
now ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,closed,12,positive,reqInfo,"
do you have a rail card
",railcard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,A,"
"
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,closure,13,answ,"
no
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,B,"
"
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,14,positive,reqInfo,"
and how many people's travelling
",number-journey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,A,"
"
9,,,,,,,,,,,,,,,,,partial-closure,15,positive,answ,"
one
",number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,B,"
"
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,16,positive,reqInfo,"
and what date is it you're travelling out
",date-journey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,A,"
"
11,,,closure,17,positive,answ,"
the eighth of October
",month-date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,B,"
"
12,,,,,,,,,,,,,,,,,open,18,positive,reqInfo,"
",time-departure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,A,"
"
13,,,intent-closure,19,positive,answ,"
i'd like to leave on the 7 33 train
",departure-preference-time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,B,"
"
14,,,,,,,,,,,,,,,,,deixis,20,positive,confirm,"
from Birmingham International
",location-from,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,A,"
"
15,,,,,,,,,,,,,,,,,deixis,21,positive,correct,"
New Street
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,B,"
"
16,,,,,,,,,,regret,22,,expressRegret,"
sorry
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,deixis,23,positive,correctSelf,"
Birmingham New Street
",location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10s,24,ackn,"
yeah ",,exists,25,positive,inform,"
there's the 7 33 from Birmingham New Street
",location-enum-from,,,,,,,,,,,,,,,deixis,26,positive,inform,"
arriving at 9 05 in Euston
",location-time-arrival,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,A,"
"
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,ackn,"
yeah
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,B,"
"
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,28,positive,reqInfo,"
and when is it you're returning
",time-return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,A,"
"
19,,,,,,,,,,,,,,,,,deixis-closure,29,positive,answ,"
em same day on the em 17 15
",day-enum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,B,"
"
20,,,,,,,,,,,,,,,,7s,deixis,30,positive,confirm,"
",time-arrival,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,A,"
"
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,ackn,"
yeah ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,B,"
"
22,,,,,,,,,,,32,,init,"
now
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reportIntent,33,positive,informIntent-hold,"
i'm just going to check to see what's your cheapest fare available to you
",fare-avail-verify,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,init,"
so
",,,,,,,,,,,,,,,,,,yes,poss2-condition-manage,35,positive,hold,"
if you can ",hold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,A,"
"
23,,,,,,,,,,,,,,,,,,36,,thank,"
thank you
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,B,"
"
24,,,,37,positive,confirm,"
and that's for the eighth of October
",month-date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,A,"
"
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,ackn,"
yeah
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,B,"
"
26,,,,,,,,,20s,,39,,init,"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reason,40,positive,inform,"
because of the time that you're travelling out ",time-location-journey,,,,,,,,,,,,,,,,,,,,,,,exists,41,negative,inform,"
there's not any advance purchase tickets left ",fare-journey,,,,,,,,,,,,,,,,,,,,,,,,42,positive,inform,"
they've now been booked up
",avail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,A,"
"
27,,,,,,,,,,,43,positive,ackn,"
right
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,B,"
"
28,,,,44,positive,inform-disc,"
and the cheapest way to do it is going to is
",fare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reason,45,positive,inform,"
cos it's the normal price
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,,46,positive,inform-cont,"
is gonna be standard open return at 61 pounds 50 ",fare,,,,,,,,,,,,constrain,47,positive,inform,"
but you reduce that slightly ",fare,,,,,,,,,,48,positive,inform,"
you'll be able to get the standard open single at 33 pounds on your outward service
",fare,,,,,,,,,,,,,deixis,49,positive,refer,"
then on the return
",fare,yes,condition,50,positive,inform,"
as long as you're prepared to stick to the date and time ",time-date,right,poss2,51,positive,inform,"
you can get the Virgin value single at 7 pounds ",fare,,,,,,,,,,,,,,52,init,"
so
",,53,positive,inform,"
that's going to save you 21 pounds 50 there
",fare,29,A,"
"
29,,,reassurance-appreciate,54,positive,appreciate,"
that's fine
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,ackn,"
yeah ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,B,"
"
30,,,,,,,,,,,56,,init,"
so
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,intent,57,positive,informIntent,"
i'll just gonna book ",booking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,init,"
so
",,,,,,,,,,,,,,,,,,,,59,positive,inform,"
we say it's a return journey
",fare-journey,,,,,,,,start,constrain,60,positive,inform,"
but it's classed as two ",number-fare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,A,"
"
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,ackn,"
yeah
",end,reassurance-appreciate,62,positive,appreciate,"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,ackn,"
yeah
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,B,"
"
32,,,,,,,,,,,64,,init,"
now
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,deixis,65,positive,confirm,"
on the eighth October
",month,,,,,,,,,,,,,,,,,,,,,,,,66,positive,confirm,"
you're travelling from Birmingham New Street at 7 33 ",time-location-from-journey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,deixis,67,positive,confirm,"
arriving in Euston at 9 05
",location-time-arrival,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,A,"
"
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,ackn,"
yeah
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,B,"
"
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,closed-alternative,69,positive,reqDirect,"
would you like smoking or non smoking
",preference-seat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,A,"
"
35,,,,,,,,,,,,,,,start,,closure,70,positive,direct,"
non smoking ",seat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,B,"
"
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,end,closed,71,positive,reqDirect,"
and ",preference-booking-seat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,A,"
"
