,0.decl.0.backchannel.content,0.decl.0.pause.length,0.decl.mode,0.decl.n,0.decl.polarity,0.decl.sp-act,0.decl.text,0.decl.topic,0.dm.0.pause.length,0.dm.mode,0.dm.n,0.dm.polarity,0.dm.sp-act,0.dm.text,0.frag.0.overlap.type,0.frag.0.pause.length,0.frag.mode,0.frag.n,0.frag.polarity,0.frag.sp-act,0.frag.text,0.frag.topic,0.imp.mode,0.imp.n,0.imp.polarity,0.imp.sp-act,0.imp.text,0.imp.topic,0.no.mode,0.no.n,0.no.sp-act,0.no.text,0.q-wh.mode,0.q-wh.n,0.q-wh.polarity,0.q-wh.sp-act,0.q-wh.text,0.q-wh.topic,0.q-yn.0.overlap.type,0.q-yn.mode,0.q-yn.n,0.q-yn.polarity,0.q-yn.sp-act,0.q-yn.text,0.q-yn.topic,0.yes.mode,0.yes.n,0.yes.sp-act,0.yes.text,1.decl.0.overlap.type,1.decl.mode,1.decl.n,1.decl.polarity,1.decl.sp-act,1.decl.text,1.decl.topic,1.dm.n,1.dm.sp-act,1.dm.text,1.frag.mode,1.frag.n,1.frag.polarity,1.frag.sp-act,1.frag.text,1.frag.topic,1.q-yn.mode,1.q-yn.n,1.q-yn.polarity,1.q-yn.sp-act,1.q-yn.text,1.q-yn.topic,1.yes.n,1.yes.sp-act,1.yes.text,10.decl.0.backchannel.content,10.decl.mode,10.decl.n,10.decl.polarity,10.decl.sp-act,10.decl.text,10.decl.topic,11.decl.mode,11.decl.n,11.decl.polarity,11.decl.sp-act,11.decl.text,11.decl.topic,2.decl.mode,2.decl.n,2.decl.polarity,2.decl.sp-act,2.decl.text,2.decl.topic,2.dm.n,2.dm.polarity,2.dm.sp-act,2.dm.text,2.frag.0.backchannel.content,2.frag.mode,2.frag.n,2.frag.polarity,2.frag.sp-act,2.frag.text,2.frag.topic,2.q-wh.mode,2.q-wh.n,2.q-wh.polarity,2.q-wh.sp-act,2.q-wh.text,2.q-wh.topic,2.yes.0.pause.length,2.yes.n,2.yes.sp-act,2.yes.text,3.decl.0.backchannel.content,3.decl.mode,3.decl.n,3.decl.polarity,3.decl.sp-act,3.decl.text,3.decl.topic,3.frag.mode,3.frag.n,3.frag.polarity,3.frag.sp-act,3.frag.text,3.frag.topic,4.decl.0.backchannel.content,4.decl.0.overlap.type,4.decl.mode,4.decl.n,4.decl.polarity,4.decl.sp-act,4.decl.text,4.decl.topic,4.frag.mode,4.frag.n,4.frag.polarity,4.frag.sp-act,4.frag.text,4.frag.topic,5.decl.mode,5.decl.n,5.decl.polarity,5.decl.sp-act,5.decl.text,5.decl.topic,5.frag.mode,5.frag.n,5.frag.polarity,5.frag.sp-act,5.frag.text,5.frag.topic,6.decl.0.backchannel.content,6.decl.mode,6.decl.n,6.decl.polarity,6.decl.sp-act,6.decl.text,6.decl.topic,7.decl.0.backchannel.content,7.decl.mode,7.decl.n,7.decl.polarity,7.decl.sp-act,7.decl.text,7.decl.topic,7.frag.mode,7.frag.n,7.frag.polarity,7.frag.sp-act,7.frag.text,7.frag.topic,8.decl.0.backchannel.content,8.decl.mode,8.decl.n,8.decl.polarity,8.decl.sp-act,8.decl.text,8.decl.topic,8.dm.n,8.dm.sp-act,8.dm.text,9.decl.mode,9.decl.n,9.decl.polarity,9.decl.sp-act,9.decl.text,9.decl.topic,n,speaker,text
37,,,,,,,,,,,,,,,,,condition-closure,72,positive,direct,"
erm ",seat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,B,"
"
38,,,,,,,,,3s,,73,positive,accept,"
ok ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,benefit,74,positive,inform,"
that's booked for you
",booking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,init,"
now
",,,,,,,,,,,,,,,,,,,reportIntent,76,positive,confirm,"
i'm booking from Euston to Birmingham New Street
",to-location-from-booking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,A,"
"
39,,,,,,,,,,,77,positive,ackn,"
alright
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,B,"
"
40,,,,,,,,,,,,,,,,2s,deixis,78,positive,confirm,"
on the 8th again ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,deixis,79,positive,confirm,"
departing 17 15
",departure-time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,A,"
"
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,ackn,"
yep
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,B,"
"
42,,3s,,81,positive,confirm,"
",fare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,A,"
"
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,ackn,"
yep
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,B,"
"
44,,2s,intent-report,83,positive,informIntent,"
i'm going to book you a forward facing seat again ",seat-booking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,init,"
now
",,,,,,,,,,,,,,,,yeah,constrain,93,positive,inform,"
you must do so by 6 o'clock the day before your outward journey ",time-day-journey,constrain,94,positive,inform,"
and it's subject to availability and 5 pounds charge
",avail-fare,,,,,,,,,,,,deixis,85,positive,refer,"
with the standard open single
",fare,,,,,,,,,,,,condition,86,positive,inform,"
if you miss the service i've reserved you on
",miss,,,,,,,right,,poss2,87,positive,inform,"
you are able to get the next available train ",avail,,,,,,,,88,positive,inform,"
and it's a full refund less 5 pounds
",refund-fare,,,,,,,right,condition-constrain,89,positive,inform,"
if you have to cancel ",cancel,,,,,,,,deixis-constrain,90,positive,refer,"
but with the Virgin value fare
",fare,right,constrain,91,positive,inform,"
you must stick to the date and time that you book ",time-date-booking,,,,condition,92,positive,inform,"
if you wanted to change the time of that travel
",preference-time-journey,45,A,"
"
45,,,,,,,,,,,95,positive,ackn,"
right
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,B,"
"
46,,,,,,,,,,,96,,init,"
now
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,97,positive,reqInfo,"
your surname please
",name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,A,"
"
47,,,,,,,,,,,,,,,,,closure,98,positive,answ,"
{surname}%5%18%16%5%23%18%0 {letter}%5 {letter}%18 {letter}%16 {letter}%5 {letter}%23 {letter}%18 {letter}%0
",spell-name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,B,"
"
48,,,,,,,,,,,,,,,,,open,99,positive,reqInfo,"
",name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,A,"
"
49,,,,,,,,,,,,,,,,,partial-closure,100,positive,answ,"
{letter}%11
",spell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,B,"
"
50,,,,,,,,,,,,,,,,,open,101,positive,reqInfo,"
and your title
",name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,A,"
"
51,,,,,,,,,,,,,,,,,partial-closure,102,positive,answ,"
Doctor
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,B,"
"
52,,,,,,,,,,,,,,,,,open,103,positive,reqInfo,"
and your contact telephone number
",telephone-number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,A,"
"
53,,,,,,,,,,,,,,,,,closure,104,positive,answ,"
em 0 1 1 1
",enum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,B,"
"
54,,,,,,,,,,,105,positive,ackn,"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,A,"
"
55,,,,,,,,,,,,,,,,,,106,positive,answElab,"
1 0 5
",enum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,B,"
"
56,,,,,,,,,,,107,positive,ackn,"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,A,"
"
57,,,,,,,,,,,,,,,,,,108,positive,answElab,"
1 2 1 8
",enum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,B,"
"
58,,,,,,,,,,,,,,,,2s,open,109,positive,reqInfo,"
",creditcard-address,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,A,"
"
59,,,,,,,,,,,,,,,,,closure,110,positive,answ,"
{letter}%11 36 ",enum-spell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,B,"
"
60,,,,,,,,,,,,,,,,,,,,,,,,111,positive,direct,"
and confirm that address for me please
",confirm-address,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,A,"
"
61,,,,112,positive,answ,"
it's %street Avenue ",name-address,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,positive,answElab,"
it's number 11
",number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,B,"
"
62,,,,,,,,,,,,,,,,,partial,114,positive,echo,"
11 ",enum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,positive,reqInfo,"
and ",number-creditcard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,A,"
"
63,aha,,,116,positive,correct,"
it's a debit card ",creditcard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,deixis,117,positive,answ,"
number 1 3 5
",enum-number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,B,"
"
64,,,,,,,,,,,,,,,,,,118,positive,echo,"
1 3 5
",enum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,A,"
"
65,,,,,,,,,,,,,,,,,,119,positive,answElab,"
5 3 1
",enum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,B,"
"
66,,,,,,,,,,,,,,,,,,120,positive,echo,"
5 3 1
",enum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,A,"
"
67,,,,,,,,,,,,,,,,,,121,positive,answElab,"
1 5 1
",enum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,B,"
"
68,,,,,,,,,,,,,,,,,,122,positive,echo,"
1 5 1
",enum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,A,"
"
69,,,,,,,,,,,,,,,,,,123,positive,answElab,"
8 6 1
",enum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,B,"
"
70,,,,,,,,,,,,,,,,,,124,positive,echo,"
8 6 1
",enum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,A,"
"
71,,,,,,,,,,,,,,,,,,125,positive,answElab,"
9 1 1
",enum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,B,"
"
72,,,,,,,,,,,,,,,,,,126,positive,echo,"
9 1 1
",enum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,A,"
"
73,,,,,,,,,,,,,,,,,,127,positive,answElab,"
0 1 5
",enum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,B,"
"
74,,,,,,,,,,,,,,,,,,128,positive,echo,"
0 1 5
",enum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,positive,reqInfo,"
and the issue number
",number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,A,"
"
75,,,,,,,,,,,,,,,,,partial,130,positive,inform,"
2
",enum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,B,"
"
76,,,,,,,,,,,,,,,,,,131,positive,reqInfo,"
and the expiry date
",creditcard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,A,"
"
77,,,,,,,,,,,,,,,,,,132,positive,inform,"
November this year
",month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,B,"
"
78,,,,,,,,,3s,,133,,init,"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,positive,inform,"
this is your reference number your tickets have been booked under
",booking-number-journey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,A,"
"
79,,,,,,,,,,,135,positive,ackn,"
ok
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,B,"
"
80,,,,136,positive,inform,"
it's {letter}%25 for %alpha {letter}%22 for %alpha ",spell-name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,A,"
"
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137,ackn,"
yeah
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,B,"
"
82,,,,,,,,,,,,,,,,,deixis,138,positive,inform,"
{letter}%13 for %alpha the number 5 ",spell-name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,A,"
"
83,,,,,,,,,,,139,positive,ackn,"
right
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,B,"
"
84,,,deixis,140,positive,inform,"
and 40 pounds exactly's been debited from your debit card
",fare-booking-creditcard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,positive,inform,"
and the two tickets will be posted out first class to you this afternoon
",time-number-journey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,positive,init,"
ok now
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,A,"
"
85,,,appreciate,143,positive,appreciate,"
that's brilliant
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,B,"
"
86,,,,,,,,,,,,,,,,,,144,,thank,"
thank you for calling
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,A,"
"
87,,,,,,,,,,,,,,,start,,farewell,145,,thank-bye,"
thanks very much ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,B,"
"
88,,,,,,,,,,,,,,,end,,partial-farewell,146,positive,bye,"
bye ",closing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,A,"
"
