Call ID,Speaker,Conversation
'21156517042117299,2,hi there this is Kevin how may I assist you today
'21156517042117299,1, %HESITATION good how are you
'21156517042117299,2, I'm fine how are you
'21156517042117299,1, %HESITATION I'm calling you because I have %HESITATION %HESITATION questions
'21156517042117299,2, sure
'21156517042117299,1, I bought %HESITATION I change phones and I can you know assess my icon %HESITATION %HESITATION email and I'm trying to reset my password and mine you know in my new phone %HESITATION trying to get my %HESITATION
'21156517042117299,2, hi
'21156517042117299,1, %HESITATION %HESITATION well you %HESITATION okay can you send me to boarding the sticks damage
'21156517042117299,2, %HESITATION no I'm really sorry only provide services in English
'21156517042117299,1, all right so let me try again I bought a new home %HESITATION setting my %HESITATION my apps when I sit in my office I forgot my username and password so I'm trying to %HESITATION to get it main menu home %HESITATION a new password and my use and they but %HESITATION you but I use my I. clout %HESITATION G. email but E. any small and the system is not letting me use my G. email %HESITATION account %HESITATION that's why I'm having the problem
'21156517042117299,2, I'm so sorry for that %HESITATION please
'21156517042117299,1, hello hello
'21156517042117299,2, please stay on the line I'm checking the details
'21156517042117299,1, %HESITATION yes what I couldn't hear anything you were saying
'21156517042117299,2, okay may I have your first and last name please
'21156517042117299,1, okay he's not again M. A. R. I. E. L. L. A. C. A. R. A. B. A. L. L. O.
'21156517042117299,2, okay merry only have the last four of your social security number
'21156517042117299,1, ninety six five three
'21156517042117299,2, thank you so much for that let me %HESITATION tell you what I've understood so we know we are in the same page you shifted your house and now you don't remember your user I. D. your password or and you don't even have access to your email account
'21156517042117299,1, so my I. cloud account
'21156517042117299,2, your iCloud dot com
'21156517042117299,1, yes
'21156517042117299,2, %HESITATION you don't even remember the password to your iCloud account
'21156517042117299,1, no you know what I don't remember is that I don't have enough and an apple please stay with me I I just bought a %HESITATION zero eight and I'm trying to set it in my new home
'21156517042117299,2, I'm so sorry to hear about that I apologize for the inconvenience what you need to do is that you need to send an email with these details to support at but your card dot com and they'll be able to assist you okay
'21156517042117299,1, well caught on
'21156517042117299,2, it's support at battle card dot com okay merry you
'21156517042117299,1, all right thank you
'21156517042117299,2, anything else I can help you with Maria
'21156517042117299,1, no well wasn't
'21156517042117299,2, thank you thank you so much for calling that'll take care of yourself bye
'21156517042117299,1, what
'21156517042138416,0,thank you for calling my card place my name is Steve how can I help you
'21156517042138416,3, all right I have a question for you %HESITATION I have a thank you
'21156517042138416,0, okay
'21156517042138416,3, and I transfer money yesterday %HESITATION the parks account to %HESITATION play court and if there
'21156517042138416,0, %HESITATION well sorry bout that can you please confirm your card number first
'21156517042138416,3, sure it is six zero one one nine three four seven five zero zero eight zero two eight
'21156517042138416,0, thank you so much and I would like to ask you what's your first and last name
'21156517042138416,3, Shane assignment
'21156517042138416,0, thank you and can I ask you what's your last four of your social and date of birth please miss Simon
'21156517042138416,3, sure two three to four July twenty third thank you
'21156517042138416,0, thank you in the address on the account physical address
'21156517042138416,3, one fifteen or sixty First Street Philadelphia Pennsylvania one nine one three nine
'21156517042138416,0, thank you so much you're not okay %HESITATION did you transfer that money from your gaming account for me venturing account like your vending
'21156517042138416,3, came in account
'21156517042138416,0, okay so %HESITATION when did you transfer that amount
'21156517042138416,3, yesterday
'21156517042138416,0, yesterday okay that will be take Mrs Simon %HESITATION twenty four to forty dollars I'm not saying it will be take the whole time but within this time frame %HESITATION like that money will be available on the card may I ask you how much is the amount
'21156517042138416,3, %HESITATION my date to %HESITATION transaction one or calling for ten dollars
'21156517042138416,0, I okay well %HESITATION I really apologize for that it's not received as of yet sorry about the delay I would request you to wait keep on checking on your account balance any time today %HESITATION or tomorrow the money will be available otherwise we are available twenty four by seven we can help you further
'21156517042138416,3, the only reason why I'm asking because or and when you look on the website it says pending
'21156517042138416,0, right that's right %HESITATION actually you were talking to a company who's providing prepaid debit card services for parks casino only an account so we don't know what happening over there once that will be cleared from the pending status it will be available on our site and then they can give it to you without any delay are you getting the point
'21156517042138416,3, okay so you're saying so anytime just let me be clear so anytime I transfer money from the accounts of the car is gonna take twenty four to forty eight hours to get it
'21156517042138416,0, right right
'21156517042138416,3, well
'21156517042138416,0, that's the maximum time it's not like that twenty four to forty eight hours will be the total time frame for example
'21156517042138416,3, it was
'21156517042138416,0, well it should be instant but that's up to the casino how fast they will release the snot funds will be available on the card it should be
'21156517042138416,3, in and but
'21156517042138416,0, they need to check a lot of things who is the card holder where that money's going so once they clear that it will be available on the card K.
'21156517042138416,3, okay thank you
'21156517042138416,0, hi my name anything else I can help you with
'21156517042138416,3, that's it thank you
'21156517042138416,0, thank you so much for calling have a great day bye
'21156517042138416,3, you bye bye
'21156517042138416,0, thank you
'21156517042153923,2,welcome to Shelly opposed to letting go support this Richard may I have your card I. D. number please
'21156517042153923,1, yeah an old one %HESITATION two four three eight three seven nine seven apple zero nine two three oh eight seven
'21156517042153923,2, Q. one moment what is your first and last name please
'21156517042153923,1, pardon thank you Patton
'21156517042153923,2, what is your first and last name
'21156517042153923,1, Mary McLeod
'21156517042153923,2, okay and what is your %HESITATION you have a middle name by any chance
'21156517042153923,1, Anna
'21156517042153923,2, thank you and your six digit access code merry
'21156517042153923,1, %HESITATION %HESITATION why don't you %HESITATION %HESITATION well I don't know that all of that is that on the car I'm just kind of like a just had cataract surgery and I'm having a lot of difficult
'21156517042153923,2, apologize for to hear that ma'am %HESITATION %HESITATION merry the six digit is the one that you provide and create at the post office with the agent it's not on the card
'21156517042153923,1, %HESITATION %HESITATION okay
'21156517042153923,2, okay not a problem what is your date of birth
'21156517042153923,1, three
'21156517042153923,2, sorry I can barely hear you can you repeat that one more time please
'21156517042153923,1, seven six fifty three
'21156517042153923,2, thank you any what is your address
'21156517042153923,1, %HESITATION he %HESITATION box one one
'21156517042153923,2, okay
'21156517042153923,1, three
'21156517042153923,2, that's that's not the address we have on file merry you have a
'21156517042153923,1, hi I'm a jurist possibly
'21156517042153923,2, okay what is that
'21156517042153923,1, hearing unit full %HESITATION she Collins C. O. L. L. I. N. S. three I'm gonna Queensland
'21156517042153923,2, and what is a post code
'21156517042153923,1, four R. one two
'21156517042153923,2, okay thank you for that information can you just confirm also your phone number
'21156517042153923,1, I've four three eight four two hi thousand
'21156517042153923,2, thank you for that how can I help you today
'21156517042153923,1, %HESITATION I went to the post office yes did die to put some more money onto the Scots but the lady told me it's going to expire and be close to an old blue cod not to do that but she said to ring you and finalize she's cod and get anything that's credited on it return to me and I took I had a new raid cod
'21156517042153923,2, okay my suggestion merry
'21156517042153923,1, you wanted to finalize his one
'21156517042153923,2, okay my suggestion is first %HESITATION to go to an ATM and withdraw the funds or spend down the five time
'21156517042153923,1, I can't I've never been to an I. G. N. a lot I'm not a young lady
'21156517042153923,2, okay
'21156517042153923,1, it's really nice
'21156517042153923,2, %HESITATION
'21156517042153923,1, I'm sorry
'21156517042153923,2, okay so the options it's going to an ATM would join the funds you saying you never went to an ATM it's that %HESITATION I understand that
'21156517042153923,1, but pretty online
'21156517042153923,2, yep
'21156517042153923,1, I think that might be on my way I okay
'21156517042153923,2, and at the other option is spent down the funds on the card like a pay by or %HESITATION %HESITATION you know purchased
'21156517042153923,1, good I just just don't think I can do that
'21156517042153923,2, okay so if %HESITATION if you want to terminate but the card we will have to send you a money order that could take up to fourteen business days so %HESITATION that's the only %HESITATION other option we have okay so you preferred %HESITATION %HESITATION us to send you for %HESITATION a money order
'21156517042153923,1, %HESITATION %HESITATION %HESITATION
'21156517042153923,2, okay %HESITATION not a problem then
'21156517042153923,1, I can just find that one on a card of the bank
'21156517042153923,2, yes no not a problem
'21156517042153923,1, okay %HESITATION
'21156517042153923,2, I will process that right now B. size that %HESITATION it's something else I could do for you today
'21156517042153923,1, nine nine nine well I just want to finalize the mountain out my new one
'21156517042153923,2, not a problem everything will be closed %HESITATION after I submit this morning order %HESITATION
'21156517042153923,1, that'd be awfully okay very much in doing things not a problem nice hourly %HESITATION it would push you get through your nine
'21156517042153923,2, not a problem
'21156517042153923,1, this is good thank
'21156517042153923,2, okay thank you again
'21156517042153923,1, %HESITATION
'21156517042153923,2, calling loading %HESITATION support
'21156517042153923,1, bye bye bye
'21156741015812019,0,hi there my name is Chris I may help you
'21156741015812019,2, hi %HESITATION I'm basically just calling in %HESITATION because I'm trying to order stuff on Walmart dot com and %HESITATION we ordered keep getting cancelled basically because of the card I don't know if you guys think it's on north arrive but I'm not getting like you know the usual tax with like did you make this this purchase or %HESITATION so basically I just need to clear up the problem so I can purchase what I need to purchase from the card
'21156741015812019,0, I'm sorry for the inconvenience you may have your name please
'21156741015812019,2, sure it's Gina my old up
'21156741015812019,0, thanks so much and I may have the last four of your social security number
'21156741015812019,2, last four one seven three two
'21156741015812019,0, all right stay with me online I appreciate it
'21156741015812019,2, no problem
'21156741015812019,0, all right thanks for the patience I really appreciated well I do see here that you have attempted some transactions with Walmart for the minute four hundred twenty two dollars and sixteen cents right
'21156741015812019,2, correct yes
'21156741015812019,0, K. %HESITATION
'21156741015812019,2, so probably as you can see H. I tried it several times saying that with me %HESITATION I thought it was like the website to be honest with you because I always I have used the card before I didn't have a problem and %HESITATION just this weekend it was giving me problems so
'21156741015812019,0, actually about %HESITATION this transaction I can see here attempted twice today %HESITATION not today but %HESITATION on August the twenty fourth is the one that I can see we here at Walmart dot com four hundred twenty two dollars and sixteen cents August twenty fourth and back in August when the through the actions to transactions regarding one of the twenty fourth it was %HESITATION about the transaction type the merchant was trying to make a particular type of transaction %HESITATION which card was not %HESITATION you know recognizing
'21156741015812019,2, yeah that may
'21156741015812019,0, not have been
'21156741015812019,2, hi can I can I prevent this from happening by I use the car basically for business purposes I buy and then pay it back so %HESITATION that's yeah it's just inconvenient while I'm trying you know to purchase an item and then
'21156741015812019,0, well %HESITATION unfortunately as if the %HESITATION you know the type of the transactions are concerned if there's any particular type of production which car does not recognize %HESITATION we actually cannot you know make you know that transaction %HESITATION be posted or weeks we cannot make card let that transaction go through because if the car does not recognize it it's not going to let it go %HESITATION that particular transaction that the Walmart dot com was a time thing on August the twenty fourth that transaction is not like %HESITATION a simple transaction it was some other kind of attraction which I'm I I cannot even see exactly the deep %HESITATION what type of action they were attentive but it was not the signature based %HESITATION like a credit transaction it you can actually make the transaction with Walmart that's not a problem you can even use a car right now as well it's open you have got the credit limit available the card should have only use for the credit option this is the only option the card works but you can you cannot even
'21156741015812019,2, it is credit so I'm I'm just confused I've I've made the same transaction online before and you guys sent me a text saying was that you I said yes and then it went through like I don't get why I just don't understand if it
'21156741015812019,0, on the twenty seventh you did make some transactions with Walmart dot com but those transaction I'm sorry the credit transactions on pending those are the simple try to transactions and related with but then go to the card did accept those transactions but the one that I can see we here on the twenty fourth of August those were not the simple credit transactions
'21156741015812019,2, %HESITATION I'm I'm not even talk I'm talking about %HESITATION %HESITATION like this past weekend it's September I tried to make a purchase %HESITATION it's telling me could you verify payment information so I'm just asking for now is it %HESITATION so you are you telling me I can't make this purchase with the card anymore or
'21156741015812019,0, no nothing that %HESITATION first of all the one you're talking about in the month of September I don't see that transaction declined by the card %HESITATION the only thing that I can hear declined by the card is the one on the twenty fourth of August twenty seven that they did let you made the transaction Walmart dot come later %HESITATION the one first September this last past weekend %HESITATION I cannot see them the card is
'21156741015812019,2, O. okay I
'21156741015812019,0, they must break issue or maybe some other reason the card is just fine %HESITATION you should be able to make this an act
'21156741015812019,2, yeah that's what I thought too %HESITATION so what you're telling me it's not all right yeah I was just because they're telling me to contact you and then you're telling me it you know so I don't know so if I if I try to be like this again my question is that going to work or is there something I need to do
'21156741015812019,0, and I need to do anything it should let you make the transaction
'21156741015812019,2, okay I'm sorry this is so difficult and thank you for your patience
'21156741015812019,0, not a problem I appreciate that anything else I may help you with
'21156741015812019,2, no thank you I appreciate it
'21156741015812019,0, thanks for us you know thank you for calling FedEx anything else that I may help you apart from this issue
'22156509401811202,1,I
'22156509401811202,0, thought we weren't doing it
'22156509401811202,1, is just a test thank you for calling to say B. C. C. conversion course services this is the niece hi
'22156509401811202,0, transaction and we click save payment information we locked out and log back in and the card information is not based no you don't click anything
'22156509401811202,1, can you give me the phone number associated to your card don't don't continue with
'22156509401811202,0, yep it's six one three six one nine zero two one zero three
'22156509401811202,1, six can you
'22156509401811202,0, four one three six one nine zero two one zero
'22156509401811202,1, zero two one zero uhhuh uhhuh
'22156509401811202,0, K. C.
'22156509401811202,1, can you confirm the name in your car
'22156509401811202,0, David celebrate
'22156509401811202,1, and it's possible to speak with the but %HESITATION cardholder
'22156509401811202,0, hello I'm fine David Sosa hello
'22156509401811202,1, thank you %HESITATION can you let none of the above your date of birth
'22156509401811202,0, Levin said three fifty what
'22156509401811202,1, okay and your email address
'22156509401811202,0, D. P. Salisbury %HESITATION G. email dot com
'22156509401811202,1, okay thank you what exactly wanted me to do it
'22156509401811202,0, well just tell us %HESITATION if we have an ability to save the card information what do we have to re enter it every time
'22156509401811202,1, you're not east %HESITATION what exactly is the message you're getting when you try to do it
'22156509401811202,0, well on the payment page there's a box after student filling out your information the card number expiry date name on card it has a box of the that we clicked when we just did a transaction that says save my credit debit card details when we log that back in log back in we were making another payment and it did not save the credit card and debit card details why is that
'22156509401811202,1, sometimes the so so you so with the system %HESITATION much you treat you loaded the first time
'22156509401811202,0, %HESITATION twenty euros yeah
'22156509401811202,1, I can see here then they can just simply a you shoot don't push okay don't try to save the card today maybe tomorrow you can try again and it's we okay sometimes it's just the it's just a a problem with the system cool closed lower
'22156509401811202,0, yourself under the account number
'22156509401811202,1, no no I can not you just have to close every seeing %HESITATION give a couple hours and then you can try again okay does that
'22156509401811202,0, box the details
'22156509401811202,1, yeah just just that try again if you if you it even if you can try tomorrow better yet this time is is the system okay
'22156509401811202,0, okay okay thank you
'22156509401811202,1, no problem
'21156247558557990,0,thank you for calling M. C. %HESITATION customer services this is Sadie how can I help you today
'21156247558557990,3, yes %HESITATION I've met a chilly for %HESITATION by did not get my referral code
'21156247558557990,0, K.
'21156247558557990,3, hello
'21156247558557990,0, yeah I'm listening to you you did not get your before we open may I have your card number please
'21156247558557990,3, my car numbers to you on this call Ron at Yahoo dot com dot S. G. O. U.
'21156247558557990,0, number
'21156247558557990,3, she %HESITATION my visa card number has not arrived yet
'21156247558557990,0, okay so you just sign up for the card
'21156247558557990,3, yes
'21156247558557990,0, okay may I have your email address please
'21156247558557990,3, okay Chu CH GW %HESITATION this call Ron R. O. N. at Yahoo dot com the S. G.
'21156247558557990,0, thank you and %HESITATION could you spell your first and last name
'21156247558557990,3, it's U. S. A. N. C. H. A. W. K. I. N. K. I. N. G. W. O. N. joking with
'21156247558557990,0, choking word and %HESITATION may I have your so the email address you already provide me may I have your call back number please
'21156247558557990,3, %HESITATION that is %HESITATION is the court sixty five phone number is nine seven eight one two one three three
'21156247558557990,0, thank you what I can do for you is I'm going to send an email to the back office and %HESITATION mobile %HESITATION so my email if you want she email in twenty four hours you may check back with us is there anything else I
'21156247558557990,3, %HESITATION you've got my email correct right
'21156247558557990,0, yes is C. H. E. W. underscore run R. O. N. at Yahoo dot com dot SG
'21156247558557990,3, yes
'21156247558557990,0, all right anything else I can help you with
'21156247558557990,3, all right that's that's all
'21156247558557990,0, not a Michigan thank you for calling them she'll customer services have a great day goodbye
'21156247558560449,0,welcome to us try to post a lot to go support my name is sealed may I please have your card I. D. number
'21156247558560449,1, G. two four three six three seven nine seven nine four zero three
'21156247558560449,0, ma'am I'm so sorry I'm so sorry could could you could you could you repeat again just a little bit slower this time please so it's two four three six three seven nine seven and then what
'21156247558560449,1, three seven nine seven nine four zero three
'21156247558560449,0, uhhuh
'21156247558560449,1, three two one five
'21156247558560449,0, thank you very much for that ma'am just one second please while I look that up your account all right and who am I speaking with today please
'21156247558560449,1, issue my %HESITATION check out
'21156247558560449,0, and so my %HESITATION can I have your six digit access code for the card please
'21156247558560449,1, contact number
'21156247558560449,0, the number you set up your self for the post office when you bought the car it's supposed to be something really easy for you to remember would you like to try six it is number I can tell you if it's right or wrong
'21156247558560449,1, %HESITATION %HESITATION it's hard to actually
'21156247558560449,0, all right not a problem tell me your date of birth and your home address please
'21156247558560449,1, %HESITATION twenty six ten nine nineteen sixty
'21156247558560449,0, uhhuh
'21156247558560449,1, hi my this is used to show and unable to pause it and then the
'21156247558560449,0, okay and the postal code
'21156247558560449,1, five one six one
'21156247558560449,0, and your ball by a place
'21156247558560449,1, zero four one five eight zero three three six one
'21156247558560449,0, okay okay just for you to know I send access codes here mobile I we should be receiving that soon okay so how can I help you today so my %HESITATION
'21156247558560449,1, I just %HESITATION I made online thing I'm not sure if %HESITATION if they travel from my %HESITATION from discard it could you check if needed %HESITATION and lost five %HESITATION days any payment to win today
'21156247558560449,0, well most definitely I can tell your last transactions with the card just one second please
'21156247558560449,1, or how long %HESITATION if it's just a couple of months that's fine but %HESITATION if not fault lost two weeks I need payment twenty three main St is a call from
'21156247558560449,0, someone from your very last transaction it's %HESITATION you was done on July fourth a place called Salim there's %HESITATION and before that the same place again and then Charles for a and that's all in the beginning of the month of July so there's nothing recent
'21156247558560449,1, that's a July this month
'21156247558560449,0, yes July fourth Flanders and then July third Flinders again and then July third Charles we're over %HESITATION worth %HESITATION and we'll wars to %HESITATION so those are the places
'21156247558560449,1, okay because online %HESITATION day I have to stop the %HESITATION that's gone because state limited term money from my %HESITATION
'21156247558560449,0, gotcha
'21156247558560449,1, all right
'21156247558560449,0, all right any other questions or concerns
'21156247558560449,1, %HESITATION no it's it's just such a loss thank you bye
'21156247558560449,0, yes thirty dollars and sixty five cents
'21156247558560449,1, all right thank you so much
'21156247558560449,0, my pleasure thank you so much for calling from the post will go have a good day
'21156247558560449,1, okay bye
'21156247558560449,0, bye bye
'26156533789313496,0,I'm just really post loading go support to secure them and please have your card I. D. number four
'26156533789313496,2, three six three seven nine seven hi to our %HESITATION are two three seven
'26156533789313496,0, I'm so so the lead to a quick minute what's the last eight numbers
'26156533789313496,2, I two R. four R. two three seven
'26156533789313496,0, thank you very much and your full name please
'26156533789313496,2, thank god
'26156533789313496,0, %HESITATION can I have your six digit access code please say
'26156533789313496,2, %HESITATION work that
'26156533789313496,0, your six digit access code do you feel when you purchase upon
'26156533789313496,2, no no I haven't %HESITATION %HESITATION forgotten it in my life
'26156533789313496,0, that's okay can I have your date of birth please
'26156533789313496,2, north seven fifty four
'26156533789313496,0, your mobile number
'26156533789313496,2, %HESITATION double full seven two double seven
'26156533789313496,0, doubles number one of the mobile number yeah
'26156533789313496,2, no I realize that this one that I got cheap on that you can have anything going on no I don't need an account number
'26156533789313496,0, can I have your email address please
'26156533789313496,2, good B. five dot com good B. five dot good buffet at dot com
'26156533789313496,0, say that's incorrect
'26156533789313496,2, good B. say ed dot com and the other one %HESITATION thank god be three to five dot com at J. mail dot com sorry
'26156533789313496,0, have your physical address please
'26156533789313496,2, unit six that I'm not straight contest
'26156533789313496,0, it's stating your posts ago
'26156533789313496,2, sorry for I. one nine
'26156533789313496,0, your state
'26156533789313496,2, %HESITATION Queensland
'26156533789313496,0, thank you family fails twenty access code your email okay you should get that shortly how can I help you today
'26156533789313496,2, %HESITATION %HESITATION %HESITATION wondering how much with the thank with your %HESITATION I may be a good day bye yeah and I withdrew withdrew the %HESITATION sale well I mean with the money is gone back into my account yet or not
'26156533789313496,0, %HESITATION so sorry about the end of when it was the refund process by eBay
'26156533789313496,2, I'm not quite sure hold on and I said the money should be back in to try
'26156533789313496,0, pulled on Sunday meaning Sunday eleven so if that's the case is and take three to five business days for the phone to show up on your card
'26156533789313496,2, %HESITATION that's really lost so I'm telling me yes the dye to ring up to die starting name
'26156533789313496,0, because we don't have control of that say
'26156533789313496,2, no I don't have any
'26156533789313496,0, we would the refund itself we don't control done it's money coming into your account we don't control that per se so when they come in they'll call me and you know no more time frame is three to five business days
'26156533789313496,2, %HESITATION %HESITATION %HESITATION %HESITATION %HESITATION %HESITATION %HESITATION just getting divert all wind up not using it ever again and I'll get you know I like you think that you got the debate and you pay the money straight away but try to white dies to get it back so %HESITATION it's just mac and ran for me
'26156533789313496,0, I'm sorry bout that
'26156533789313496,2, all right %HESITATION %HESITATION see what happens
'26156533789313496,0, all right say thank you for calling
'26156533789313496,2, thank you
'26156533789313496,0, bye bye
'26156533789315088,0,welcome to Australia post loading the support this is Amanda speaking may I please have your car in nineteen
'26156533789315088,2, yes you can %HESITATION the card %HESITATION I. D. it's on the back it's five four seven three five seven two five one zero six zero say T. one
'26156533789315088,0, can I have your name
'26156533789315088,2, my name is Jennifer and Courtney
'26156533789315088,0, perfect Jennifer can I have your six digit access code
'26156533789315088,2, now I've got no idea what it is to help I haven't used the concept I bought the card when I went
'26156533789315088,0, %HESITATION %HESITATION %HESITATION %HESITATION asking that a security question Jennifer can I have your date of birth
'26156533789315088,2, yes it's the nineteen to the seven fifty five
'26156533789315088,0, your intra
'26156533789315088,2, is one thirty one practice line know if because they nine two four seven zero
'26156533789315088,0, and %HESITATION your mobile number
'26156533789315088,2, eight now I don't know what I full I'll give you one and I. four two seven six three five three five zero five but if it's not zero one the and it'll be a full
'26156533789315088,0, thanks I sent you the access because your mobile number home phone %HESITATION
'26156533789315088,2, they get pattern
'26156533789315088,0, I sent you the access code your mobile number
'26156533789315088,2, %HESITATION we try and console with me right now
'26156533789315088,0, the one they just gave me the one that ends with three three five zero so
'26156533789315088,2, yeah we had %HESITATION we don't have very good so it is C. dial
'26156533789315088,0, okay how can I
'26156533789315088,2, help gone say whether it's come through but if not you come through for a couple of the ice
'26156533789315088,0, okay so how can I help you
'26156533789315088,2, yeah well I need to know %HESITATION here it is yep I got it nah %HESITATION and %HESITATION like I don't know the number but did you send me a letter telling me that it was getting a client's awful something
'26156533789315088,0, yeah so these kinds have been discontinued as a business decision so any new cards new products you have to go to the post office so when you did you get the new car you had a new car and relations right
'26156533789315088,2, no I we did get a sheet
'26156533789315088,0, well you had a new car here we issued %HESITATION it was August first two thousand seventeen as you ever receive it
'26156533789315088,2, %HESITATION
'26156533789315088,0, uhhuh so this is I'm
'26156533789315088,2, totally out seven K. let's see I log off
'26156533789315088,0, yeah exactly so you were supposed to get a new car so what I'm gonna do the only option is to just send you a money order %HESITATION which you would receive a maximum of forty five business days with the amount on the card so I'm gonna tell you the amount what is four hundred sixty eight and sixty five cents
'26156533789315088,2, welcome how much sixty eight
'26156533789315088,0, and sixty five cents
'26156533789315088,2, and sixty one
'26156533789315088,0, to one thirty one front nine right
'26156533789315088,2, yeah eight one three one press sly north could see
'26156533789315088,0, I think once again you should receive it in the maximum twenty five business days
'26156533789315088,2, do you have any %HESITATION now it becomes obsolete
'26156533789315088,0, yeah
'26156533789315088,2, I type very good very good yeah not I didn't send me any Todd racing
'26156533789315088,0, okay no problem
'26156533789315088,2, %HESITATION tight rod I'm very good thank you very very much
'26156533789315088,0, no problem thank you so much for calling us trying to post loading with support have a great day
'26156533789315088,2, okay thank you bye
'26156533789315088,0, and %HESITATION
'26156533789315088,2, four hundred dollars not now what's the other one that I wanted
'19156543027140877,0,thank you for calling aspen opposed lingo support my name is Camila may I please have your card I. D. number
'19156543027140877,1, %HESITATION cut I. D. number is that the %HESITATION number
'19156543027140877,0, %HESITATION the whole number in the back
'19156543027140877,1, %HESITATION two five zero four seven three five seven nine four five seven five %HESITATION four three one seven
'19156543027140877,0, hang on hard to %HESITATION Tommy in the meantime your full name
'19156543027140877,1, %HESITATION my clients Weiland
'19156543027140877,0, yes two five oh four seven three five seven and after that
'19156543027140877,1, %HESITATION sorry could you repeat that
'19156543027140877,0, sorry would you mind repeating the card number and the card I. D.
'19156543027140877,1, %HESITATION cut number I'm sorry %HESITATION two five zero four seven three five seven nine full full five seven four three one seven
'19156543027140877,0, %HESITATION okay and now what is your six digit access code from our
'19156543027140877,1, %HESITATION I think it's triple nine triple seven
'19156543027140877,0, thank you very much for confirming how can I help you
'19156543027140877,1, %HESITATION I'm trying to actually close the cut because it expires in February and %HESITATION I just wanted to close it but I'm trying to do it online but it keeps saying I need to update the cod nine times out of nine and call your number %HESITATION %HESITATION but what because I went let me proceed with the %HESITATION %HESITATION close its closure
'19156543027140877,0, well that's the from my end then not a problem sorry about that well %HESITATION would you mind confirming the address please
'19156543027140877,1, %HESITATION seventeen singleton prison Gordon I say to you two nine eight six
'19156543027140877,0, excellent okay so a total of six thousand five hundred and forty one dollars and forty six cents will be sent to your address and should arrive as a money order in up to fourteen business days you can
'19156543027140877,1, I don't need to be present to sign anything to pick it up
'19156543027140877,0, %HESITATION no but you should be the person to pick to pick it up because it's going under your name yep so you have that I. D. okay
'19156543027140877,1, all right
'19156543027140877,0, okay they have any questions or anything else that I may help
'19156543027140877,1, nah that's right so that that'll be like because I'll probably be at work when it's gets to leave it says because you might have to go to a post office to pick it up probably then
'19156543027140877,0, yeah
'19156543027140877,1, yeah
'19156543027140877,0, so if you prefer going to the bank and bank can't make the deposit you can do that
'19156543027140877,1, yep okay I'll go get it and then I'll just %HESITATION pick it up from the post office when when it arrives
'19156543027140877,0, all right then though anything else that I may help
'19156543027140877,1, nah that's all thank you thanks
'19156543027140877,0, thanks for quite a while to go ahead and have a good day
'19156543027140877,1, thank you you too
'19156543027140877,0, bye bye thank you bye bye
'19156740997117529,0,thank you for calling ready god this is James how can I help you
'19156740997117529,1, %HESITATION %HESITATION ready card and %HESITATION put two hundred dollars on and they gave me twenty five
'19156740997117529,0, okay I'm really sorry for the inconvenience I will be more than happy to assist you with that may I have your card number please
'19156740997117529,1, yes %HESITATION you ready
'19156740997117529,0, yeah I'm ready
'19156740997117529,1, five one two eight five seven zero four nine zero eight five four one one two
'19156740997117529,0, you very much and may I have the expiration date on the card as well
'19156740997117529,1, yes %HESITATION zero six two two
'19156740997117529,0, thank you very much
'19156740997117529,1, %HESITATION
'19156740997117529,0, key all right I see %HESITATION that you have to use this card with United Airlines and the section is on pending status yeah four one hundred and seventy dollars and remaining balances twenty five dollars
'19156740997117529,1, yes this is what it's saying
'19156740997117529,0, yeah it's a the card has been used with United
'19156740997117529,1, for one thing it does
'19156740997117529,0, sorry
'19156740997117529,1, it's been used
'19156740997117529,0, yeah I have it has been the transaction on pending pending status
'19156740997117529,1, %HESITATION %HESITATION %HESITATION the computer things at the front counter and %HESITATION she slipped the thing in the card go through so it didn't go through
'19156740997117529,0, okay did not get through into their system okay are you available at this %HESITATION are you %HESITATION still at the airport hello
'19156740997117529,1, I'm sorry can you repeat that
'19156740997117529,0, yeah I'm sorry are you still at the airport
'19156740997117529,1, yes that's okay
'19156740997117529,0, yeah you are at the airport okay so I would request you is to get an airline agent and make them call us and let them know that they need to speak to the %HESITATION %HESITATION hotline number the hotline number Kate and then they will be able to assist you with that okay and apart from that is there anything else I can help you with
'19156740997117529,1, what's that
'19156740997117529,0, %HESITATION apart from that is there anything else I can help you with
'19156740997117529,1, no that'd be
'19156740997117529,0, all right just go and get it Elaine agent and ask them to call on the hotline number and there they will be able to help you out K. okay and thank you for calling ready con have a great day thank you goodbye
'19156740997117529,1, thank you
